rank,song,artist,genre,year
17,Untitled #7 (Jacobs Studio Sessions),Sigur Rós,Alternative,2022.0
18,Whitney,Rêve,Pop,2022.0
19,Mañana,Ozuna,Latin Urban,2022.0
20,Ur Like Hell,하이량,K-Pop,2022.0
21,Fast Life,Vado & Dave East,Hip Hop/Rap,2022.0
22,KOLLA MIN DANS,Albin Myers & Ivory,Dance,2022.0
23,Let's Go (feat. Aitch),Tion Wayne,Hip Hop/Rap,2022.0
24,The Limit,Tibasko,Dance,2022.0
25,girls like me don't cry,thuy,Pop,2022.0
26,Bittersweet Goodbyes,Joyce Wrice,R&B/Soul,2022.0
27,Bad,Maya B & Omeretta the Great,Hip Hop/Rap,2022.0
28,TORO,Jowell & Randy,Latin,2022.0
29,Out of My Mind,Black Honey,Alternative,2022.0
31,Tegnum la man,The Vad Vuc,Pop,2022.0
32,The Power,Matoma,Dance,2022.0
34,Where Are U,Nikki Nair,Bass,2022.0
35,GO,KOYOTE,K-Pop,2022.0
36,Feel Alive,FLOHIO,Hip Hop/Rap,2022.0
37,Glory (feat. MC Eiht),Loasteeze,Hip Hop/Rap,2022.0
38,Best Friends,5 Seconds of Summer,Pop,2022.0
39,Warning,REAPER,Electronic,2022.0
40,The Girl with the Golden Hair,The Yankees,Rockabilly,2022.0
41,Rush (Extended Mix),Seth Hills,Dance,2022.0
42,Hypnotised,Manse,Dance,2022.0
43,Helule Helule,Daudi Kabaka,World,2022.0
44,Generous (Marc Stout Remix),Olivia Holt,Pop,2022.0
45,Generous (Madison Mars Remix),Olivia Holt,Pop,2022.0
46,New World (feat. Taylor Bennett),Krewella & Yellow Claw,Electronic,2022.0
47,The Phantom of the Opera (full length) [Instrumental],Musical Creations Karaoke,Karaoke,2022.0
48,Luokses jään - Volver,Eino Grön,Pop,2022.0
49,Do You Wanna Dance (Jive - 44 Bpm),Ballroom Orchestra And Singers,Pop,2022.0
50,Hula Dance,The Molokai Ten,Vocal,2022.0
51,Video Killed the Radio Star,Ben Folds Five,Rock,2022.0
52,Wake Me Up,Avicii,House,2022.0
53,Skyfall,Adele,Pop,2022.0
54,Everlasting Bomb,Widescreen Mode,Pop,2022.0
55,Missä Muruseni On,Jenni Vartiainen,Pop,2022.0
56,Rolling In the Deep,Adele,Pop,2022.0
58,Euphoria (Single Version),Loreen,Dance,2022.0
60,Timantit On Ikuisia,Cheek,Hip Hop/Rap,2022.0
61,Selvä Päivä,Petri Nygard,Pop,2022.0
62,Set Fire to the Rain,Adele,Pop,2022.0
63,Ihmisten Edessä,Jenni Vartiainen,Pop,2022.0
64,Bad Romance,Lady Gaga,Pop,2022.0
65,Maailman Toisella Puolen,Haloo Helsinki!,World,2022.0
66,Silkkii,Jukka Poika,Reggae,2022.0
68,Häissä (feat. Märkä-Simo),JVG,Pop,2022.0
69,Kran Turismo (feat. Raappana),JVG,Pop,2022.0
71,Someone Like You,Adele,Pop,2022.0
72,Mikä Boogie,Fintelligens,Hip Hop/Rap,2022.0
73,Vapaa,Kaija Koo,Pop,2022.0
74,Jos Sä Tahdot Niin,Jippu & Samuli Edelmann,Pop,2022.0
75,Nuori Ja Kaunis (feat. Olavi Uusivirta),Anna Järvinen,Pop,2022.0
76,Frontside Ollie,Robin,Pop,2022.0
78,Levikset repee (feat. VilleGalle),Sini Sabotage,Hip Hop/Rap,2022.0
79,Mr. Saxobeat (Maan Extended Version),Alexandra Stan,Dance,2022.0
80,Syypää sun hymyyn (feat. Yasmine Yamajako),Cheek,Hip Hop/Rap,2022.0
82,Reggaerekka (Radio Edit) [feat. Petri Nygård],Lord Est,Pop,2022.0
83,Mennyt Mies,J. Karjalainen,Pop,2022.0
84,Stereo Love (Radio Edit),Edward Maya & Vika Jigulina,Dance,2022.0
85,Girl On Fire (feat. Nicki Minaj) [Inferno Version],Alicia Keys,R&B/Soul,2022.0
86,Jippikayjei,Cheek,Hip Hop/Rap,2022.0
87,Summer Wine,Ville Valo & Natalia Avelon,Pop,2022.0
88,Vapaus Käteen Jää,Haloo Helsinki!,Pop,2022.0
89,Mä Annan Sut Pois,Laura Närhi,Pop,2022.0
90,Lautturi,PMMP,Pop,2022.0
91,Vie Mut Kotiin,Jesse Kaikuranta,Pop,2022.0
92,Ravistettava Ennen Käyttöä,Apulanta,Rock,2022.0
93,Hot N Cold,Katy Perry,Pop,2022.0
94,Get Lucky (feat. Pharrell Williams) [Radio Edit],Daft Punk,Pop,2022.0
8,Heavy Metal Love,twocolors,Dance,2022.0
13,Let It Rain Down (feat. PollyAnna),Alle Farben,Dance,2022.0
18,Call It Love,Felix Jaehn & Ray Dalton,Dance,2022.0
20,3 Tage am Meer,AnnenMayKantereit,Pop,2022.0
22,Kiss Me,Dermot Kennedy,Pop,2022.0
23,Layla,DJ Robin & Schürze,German Pop,2022.0
25,Don't Stop Believin',Teddy Swims,Pop,2022.0
26,Thank You,Gestört aber GeiL & Anna Grey,Dance,2022.0
28,Es ist alles ok,Roland Kaiser,German Pop,2022.0
32,Fühlst du das auch,Apache 207,Hip Hop/Rap,2022.0
34,AUF AUF,Silbermond,Pop,2022.0
38,Ich hass dich,Nina Chuba & Chapo102,Hip Hop/Rap,2022.0
39,Another Love,Tom Odell,Singer/Songwriter,2022.0
40,I Believe,KAMRAD,Pop,2022.0
42,Someone Else,ClockClock,Pop,2022.0
43,Für diesen Moment,Alexander Eder,Pop,2022.0
45,Another Love (TikTok Trend Edit),House Of Paper,Dance,2022.0
48,Jump,Van Halen,Hard Rock,2022.0
49,Wildberry Lillet (Remix),Nina Chuba & Juju,Hip Hop/Rap,2022.0
50,Miss You,Southstar,Dance,2022.0
55,Solo Para Ti,Alvaro Soler & Topic,Pop in Spanish,2022.0
56,Bamba (feat. BIA),Luciano & Aitch,Hip Hop/Rap,2022.0
59,Roller,Apache 207,Hip Hop/Rap,2022.0
61,Infinity,Jaymes Young,Alternative,2022.0
62,Gönn Dir,twenty4tim,Pop,2022.0
63,Olivia (feat. DJ Cashi),Die Zipfelbuben,German Pop,2022.0
65,Der Zug hat keine Bremse (Mallorcastyle Edition),"Mia Julia, Lorenz Büffel & Malle Anja",German Pop,2022.0
66,Wir sagen danke schön,Die Flippers,German Pop,2022.0
67,Looking For Love,Lena,Pop,2022.0
68,Best Bad Friend,Michael Patrick Kelly & Rea Garvey,Pop,2022.0
71,Fette Wilde Jahre,Juli,Pop,2022.0
77,Pepas,Farruko,Latin Urban,2022.0
78,Move Your Body,Öwnboss & SEVEK,Dance,2022.0
79,Remedy,Leony,Pop,2022.0
80,Space Oddity (1999 Remaster),David Bowie,Rock,2022.0
81,Fahr mit mir (4x4),Kraftklub & Tokio Hotel,Rock,2022.0
82,Schmetterling,SOPHIA,Pop,2022.0
83,YOU,Phil The Beat,Pop,2022.0
84,With You,Michael Schulte,Pop,2022.0
86,In Der Natur,Deichkind,Dance,2022.0
88,Schockverliebt,Eric Philippi,German Pop,2022.0
90,Deep Down (feat. Never Dull),"Alok, Ella Eyre & Kenny Dope",Dance,2022.0
93,Zuversicht,Roland Kaiser,German Pop,2022.0
94,Love It,Laurell,Pop,2022.0
95,Wer hat hier schlechte Laune,Max Raabe & Palast Orchester,Pop,2022.0
96,Was auch immer passiert,Kerstin Ott & Andrea Berg,German Pop,2022.0
97,Ein Tag wie Gold,Max Raabe & Palast Orchester,Pop,2022.0
98,The Pirate's Gospel,Alela Diane,Pop,2022.0
99,West Connect,Luciano & Central Cee,Hip Hop/Rap,2022.0
