track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3ibKnFDaa3GhpPGlOUj7ff,Mario,Let Me Love You,0.656,0.578,7,-8.97,0,0.0922,0,0.118,0.556,94.514,256733,4
3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,Finesse - Remix; feat. Cardi B,0.704,0.859,5,-4.877,0,0.0996,0,0.0215,0.926,105.115,217289,4
22VdIZQfgXJea34mQxlt81,The Weeknd,Can't Feel My Face,0.705,0.769,9,-5.526,0,0.0425,0,0.105,0.583,107.949,213520,4
04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,Centuries,0.393,0.858,4,-2.868,0,0.0729,0,0.102,0.56,176.042,228360,4
3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',0.714,0.8,11,-4.808,0,0.0504,0,0.359,0.589,134.002,211560,4
3gbBpTdY8lnQwqxNCcf795,Bastille,Pompeii,0.679,0.715,9,-6.383,1,0.0407,0,0.271,0.571,127.435,214148,4
24YvUQnuPL8gObCfSnAobH,Train,"Hey, Soul Sister",0.677,0.89,1,-4.448,0,0.0418,0,0.0826,0.764,97.012,216773,4
3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,0.422,0.264,8,-7.064,1,0.0322,0,0.132,0.331,119.93,269560,4
7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,0.442,0.538,4,-8.55,0,0.0451,2.95e-05,0.09,0.139,122.758,244360,4
50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,0.609,0.378,4,-9.828,1,0.438,0,0.28,0.515,100.418,233720,4
3zkWCteF82vJwv0hRLba76,Shawn Mendes,Stitches,0.746,0.754,1,-6.684,1,0.0676,0,0.0486,0.746,149.882,206880,4
2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,0.748,0.788,1,-7.055,1,0.0334,0,0.0863,0.884,120.076,235493,4
6RtPijgfPKROxEzTHNRiDp,MAGIC!,Rude,0.773,0.758,1,-4.993,1,0.0381,0,0.305,0.925,144.033,224840,4
2tJulUYLDKOg9XrtVkMgcJ,Bruno Mars,Grenade,0.704,0.558,2,-7.273,0,0.0542,0,0.107,0.245,110.444,222091,4
0fioLzGM8ngbD1w6fMmm45,Sam Smith,I'm Not The Only One,0.453,0.496,5,-5.785,1,0.0453,2.65e-05,0.0772,0.501,80.994,239317,4
1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,0.781,0.445,2,-6.061,1,0.0295,0,0.184,0.591,78.998,281560,4
2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,0.572,0.385,7,-6.362,1,0.0308,0,0.231,0.323,95.799,215733,4
5tz69p7tJuGPeMGwNTxYuV,Logic,1-800-273-8255,0.62,0.574,5,-7.788,0,0.0479,0,0.19,0.357,100.023,250173,4
