,rank,song,artist,genre,year,uri
120,30,Wildberry Lillet,Nina Chuba,Hip Hop/Rap,2022.0,6yeZM8gyykjaf8w0GqRfK4
121,31,die sunn und di,Pizzera & Jaus,Pop,2022.0,7huT2s7jvfmPc3XsIWgs6d
122,32,Lover,Taylor Swift,Pop,2022.0,1dGr1c8CrMLDpV6mPbImSI
123,33,Bad Memories (feat. Elley Duhé & FAST BOY),Meduza & James Carter,Dance,2022.0,3rb0tMq42WfggucPm0HHkA
124,34,Einmal sehen wir uns wieder,Joel Brandenstein,Pop,2022.0,3Xw0vyJFruwZAvMITe5a0F
125,35,Little Stupid Boy,ARAI,Pop,2022.0,1D3vrgcuk5fHXAMLGoHD9i
126,36,Easy Lover (Solo Version),Ellie Goulding,Pop,2022.0,1uv4YqsZyX4D1lfLF9roZB
127,37,Beat Automotivo Tan Tan Tan Viral,WZ Beat,Baile Funk,2022.0,3jAYb4YSl9PsIBFjwflgxk
128,38,Pizzica Tarantina,Terraròss & dominique antonacci,Pop,2022.0,6P82utL8wYkt7PnFGDU1e3
129,39,Big Bad Wolf,Roses & Revolutions,Alternative,2022.0,0QB98b4YFxtW4NQ9narHQM
130,40,What's Your Voodoo?,Ghia,Electronic,2022.0,564FkqnGiWSonvEYXf1TYq
131,41,Love Song,The Damned,Alternative,2022.0,4E6cwWJWZw2zWf7VFbH7wf
132,42,BOYS,Aidan Martin,Pop,2022.0,6suYoN4gFkanqOBn5yRnJC
133,43,As It Was (Spanish Version),Rothe C,Pop,2022.0,7Gkss3sW9JgwzWtWOh3APT
134,44,V noci se dějou věci,Like-It,Pop/Rock,2022.0,7zmjYKFz7LMfjqdBWa39ir
135,46,Somethin' Else (Live),Stray Cats,Rock,2022.0,4AX9BMMXAZmXKRmfLSYFVD
136,47,Fromage collatéral (Demo),World Brain,Indie Pop,2022.0,7fuqbhkbtZ1CHip31kDsnL
137,48,Papi's Wishing Wheel (feat. Jaakko Eino Kalevi),The Zenmenn,Indie Pop,2022.0,6DMwnXNVm8Jn3pBWAi9M4T
138,49,My Mind,Kyle Walker,Dance,2022.0,4QNPS79DeAUoSYmBynfWTN
139,50,As It Was (Japanese Version),Shayne Orok,Pop,2022.0,1piKG7W0bFwhsK73cpUm5e
140,51,Shadow Werk (Scan 7 Remix),The AM,Electronic,2022.0,567fRXMgVqRywWyy26gtmd
141,52,Like That,NUZB & Noola,House,2022.0,4EivmOT13NMpNSfTKn9p4s
142,53,Eine Kugel reicht,Bushido,Rap,2022.0,1NA1a4DNFmm2EEoiO6MVP0
143,54,Maremma,Dodo Hug & Efisio Contini,World,2022.0,73iJU8cw7Xcysx5ygx78Lj
144,55,Easy On Me (Radio Edit),Rain Paris,Rock,2022.0,4vnSaNVKZAvfdZfmUPLD8e
145,56,First Time (feat. iann dior) [Kayzo Remix],ILLENIUM & Kayzo,Dance,2022.0,1itZR2BxnrhSPFM0sYzvR7
146,57,Ballo a contrabbando,Terraròss,World,2022.0,0I8XP20WnR1jP1xNRuy7bR
147,58,Tolon,Bassekou Kouyate & Hamza Rahimtula,Dance,2022.0,5X5Vj8FcxyoLzq9qxAa45U
148,59,Blue Echo,Drehz,Instrumental,2022.0,6y76nccDsGDQMjyfuhamVX
149,60,Black Is the Night,The Damned,Alternative,2022.0,3CA3wAOZ7U3nt96W2QKtFp
150,61,Street of Dreams,The Damned,Alternative,2022.0,2hDopFcMjFcRi5IRpTSSyr
151,62,Poor Butterfly,Philip Green and His Orchestra,Pop,2022.0,2vyuIth7SkLbbfx0wX8KsC
152,63,"Miroirs, M. 43: La vallée des cloches (Très lent) [arr. Grainger, 1944]",Sir Simon Rattle & City of Birmingham Symphony Orchestra,Classical,2022.0,050MkMtpGzrf4Dgx0PWXcH
153,64,Na sêre fûbbe criùse,Terraròss,World,2022.0,5QQpb8iJSl8ttS3ySCM1mz
154,65,Dragon Prow,Free Moral Agents,Alternative,2022.0,2JFcPJUkdlGO5rUrFi4C7n
155,66,Solaris,DJ Gregory,Dance,2022.0,1p0FQvxPoLDTYepWIm7F8z
156,67,Blurred Lines (feat. T.I. & Pharrell),Robin Thicke,Pop,2022.0,0mBXtfOE8TSIqJGMDrLVRv
157,68,Ai Se Eu Te Pego (Ao Vivo),Michel Teló,Sertanejo,2022.0,46aIq2GKW7Vr6i4g2Vvycd
158,69,Gangnam Style,PSY,Pop,2022.0,03UrZgTINDqvnUMbbIMhql
